Serial Number,Year,Modification,Selling Price (INR),Place,Percentage of Population Stop Using,Percentage of Population Increased Usage,Service Type,User Satisfaction (1-5),Network Type,Average Data Usage (GB),Customer Age Group,Profits
SERIAL_0500,2015,5G Upgrade,4199,Kolkata,0.0109,0.0605,Data,2,4G,123.25,18-25,208.2704
SERIAL_0592,2015,5G Upgrade,2399,Hyderabad,0.22519999999999998,0.2847,Data,5,3G,133.86,26-40,142.7405000000001
SERIAL_0089,2015,New Feature,4199,Mumbai,0.2837,0.2879,Data,3,2G,96.63,26-40,17.635800000000017
SERIAL_0366,2015,Price Reduction,2879,Mumbai,0.49310000000000004,0.5371,Data,4,2G,62.8,26-40,126.67600000000016
SERIAL_0605,2015,Price Reduction,2999,Bangalore,0.28809999999999997,0.3233,Data,1,5G,69.13,40+,105.5648000000001
SERIAL_0607,2015,New Feature,4199,Hyderabad,0.2869,0.3161,Data,1,5G,141.41,40+,122.61079999999993
SERIAL_0347,2015,5G Upgrade,2879,Bangalore,0.469,0.4302,Data,4,3G,129.21,18-25,-111.70519999999988
SERIAL_0612,2015,New Feature,2399,Delhi,0.3321,0.31829999999999997,Data,5,5G,139.57,18-25,-33.10620000000006
SERIAL_0617,2015,Plan Update,2399,Chennai,0.0373,0.139,Call,1,3G,15.98,26-40,243.97830000000002
SERIAL_0638,2015,5G Upgrade,4199,Hyderabad,0.4215,0.42060000000000003,Call,3,3G,71.34,18-25,-3.7790999999999713
SERIAL_0152,2015,5G Upgrade,2399,Mumbai,0.3443,0.38909999999999995,SMS,4,2G,43.15,40+,107.47519999999986
SERIAL_0652,2015,Plan Update,2399,Mumbai,0.2607,0.1705,Call,3,2G,31.5,40+,-216.38979999999998
SERIAL_0668,2015,New Feature,2999,Chennai,0.1474,0.4249,Call,5,5G,64.57,18-25,832.2225000000001
SERIAL_0683,2015,New Feature,2879,Mumbai,0.39049999999999996,0.2285,SMS,4,2G,14.45,40+,-466.3979999999999
SERIAL_0302,2015,Price Reduction,3119,Chennai,0.1099,0.2601,Data,4,3G,147.49,40+,468.4738
